education,Year,obs,perc/ind,ind
0,1950,71060,6.590705677,1
0,1960,9537,0.884542078,1
0,1970,946,0.087740045,1
0,1980,3100,0.287520231,1
0,1990,5769,0.535065875,1
0,2000,10793,1.001034145,1
0,2010,844,0.078279702,1
0,2015,1,0.00001,1
0,2017,793,0.07354953,1
1,1950,19361,1.795702964,1
1,1960,248173,23.01766394,1
1,1970,32104,2.977596609,1
1,1980,143908,13.3472456,1
1,1990,164194,15.22874089,1
1,2000,109292,10.13666486,1
1,2010,18444,1.710652625,1
1,2015,1,0.00001,1
1,2017,16107,1.49389947,1
2,1950,874,0.081062155,1
2,1960,16332,1.514767874,1
2,1970,3624,0.336120425,1
2,1980,41842,3.880781128,1
2,1990,66814,6.196895709,1
2,2000,50949,4.725441367,1
2,2010,11039,1.023850267,1
2,2015,1,0.00001,1
2,2017,11656,1.081076068,1
3,1950,119,0.011037067,1
3,1960,1680,0.155817415,1
3,1970,417,0.038676108,1
3,1980,6859,0.636161698,1
3,1990,5923,0.549349138,1
3,2000,3819,0.354206375,1
3,2010,838,0.077723211,1
3,2015,1,0.00001,1
3,2017,975,0.09042975,1
0,1950,134518,2.268010611,2
0,1960,12328,0.207853483,2
0,1970,1316,0.022188123,2
0,1980,5943,0.10020062,2
0,1990,11802,0.198984978,2
0,2000,23571,0.397413566,2
0,2010,2478,0.041779764,2
0,2015,2567,0.043280329,2
0,2017,2711,0.045708208,2
1,1950,41402,0.698049148,2
1,1960,975903,16.45399395,2
1,1970,198319,3.343713081,2
1,1980,965449,16.27773663,2
1,1990,773004,13.03306081,2
1,2000,644536,10.86705487,2
1,2010,88032,1.484243819,2
1,2015,80858,1.363288199,2
1,2017,78149,1.317613711,2
2,1950,4195,0.070728858,2
2,1960,134176,2.262244396,2
2,1970,36999,0.623813353,2
2,1980,333616,5.624857847,2
2,1990,452514,7.629510946,2
2,2000,447309,7.541753209,2
2,2010,86605,1.460184205,2
2,2015,87503,1.475324733,2
2,2017,89848,1.51486208,2
3,1950,500,0.008430138,2
3,1960,17100,0.28831072,2
3,1970,5238,0.088314126,2
3,1980,58434,0.985213369,2
3,1990,39669,0.66883029,2
3,2000,51218,0.863549618,2
3,2010,13427,0.226382926,2
3,2015,14498,0.244440282,2
3,2017,15366,0.259075001,2
0,1950,39594,2.65830561,3
0,1960,5397,0.362349734,3
0,1970,580,0.038940679,3
0,1980,685,0.045990285,3
0,1990,2688,0.180469907,3
0,2000,4394,0.295009215,3
0,2010,697,0.046795954,3
0,2015,842,0.056531124,3
0,2017,918,0.061633696,3
1,1950,13797,0.926318192,3
1,1960,327190,21.96724283,3
1,1970,64071,4.301669414,3
1,1980,144282,9.686963936,3
1,1990,177130,11.89234916,3
1,2000,144692,9.714490968,3
1,2010,26494,1.778783372,3
1,2015,25449,1.708623011,3
1,2017,25227,1.69371813,3
2,1950,1254,0.084192434,3
2,1960,38014,2.552225829,3
2,1970,10582,0.710465979,3
2,1980,90055,6.046211844,3
2,1990,149781,10.05616186,3
2,2000,85065,5.711187724,3
2,2010,21023,1.411465344,3
2,2015,21975,1.47538177,3
2,2017,23494,1.577366066,3
3,1950,119,0.007989553,3
3,1960,3552,0.238478091,3
3,1970,901,0.060492331,3
3,1980,20064,1.347078946,3
3,1990,11592,0.778276472,3
3,2000,4698,0.315419502,3
3,2010,851,0.057135376,3
3,2015,1105,0.074188708,3
3,2017,1193,0.080096949,3
0,1950,31516,0.655851103,4
0,1960,1339,0.027864724,4
0,1970,244,0.005077664,4
0,1980,2837,0.059038253,4
0,1990,5617,0.11689033,4
0,2000,9501,0.197716757,4
0,2010,1197,0.024909689,4
0,2015,1657,0.034482335,4
0,2017,1740,0.036209574,4
1,1950,6420,0.13360084,4
1,1960,231327,4.813937939,4
1,1970,77150,1.605499194,4
1,1980,439601,9.148140649,4
1,1990,479629,9.981127321,4
1,2000,222819,4.63688561,4
1,2010,49138,1.02256668,4
1,2015,48985,1.019382735,4
1,2017,48164,1.002297643,4
2,1950,5651,0.117597874,4
2,1960,180253,3.751082906,4
2,1970,62292,1.296302732,4
2,1980,469661,9.773692247,4
2,1990,781168,16.25618398,4
2,2000,375508,7.814358927,4
2,2010,101591,2.114118841,4
2,2015,112561,2.342405635,4
2,2017,119214,2.480855229,4
3,1950,2872,0.059766606,4
3,1960,91733,1.908972878,4
3,1970,33238,0.691686095,4
3,1980,310553,6.4626389,4
3,1990,282127,5.871091005,4
3,2000,105106,2.187266342,4
3,2010,32642,0.679283275,4
3,2015,38315,0.797338971,4
3,2017,41993,0.873878518,4
0,1950,19160,1.182351856,5
0,1960,524,0.032335719,5
0,1970,67,0.004134529,5
0,1980,684,0.042209221,5
0,1990,890,0.054921354,5
0,2000,1198,0.073927846,5
0,2010,214,0.013205809,5
0,2015,247,0.015242219,5
0,2017,245,0.0151188,5
1,1950,7144,0.440851861,5
1,1960,188230,11.61555792,5
1,1970,29169,1.800001111,5
1,1980,152631,9.418765454,5
1,1990,119048,7.346379109,5
1,2000,104582,6.453691116,5
1,2010,19660,1.213206549,5
1,2015,18272,1.12755392,5
1,2017,18001,1.110830676,5
2,1950,1901,0.117309545,5
2,1960,57361,3.53971215,5
2,1970,12142,0.749275378,5
2,1980,127747,7.883189067,5
2,1990,181452,11.1972917,5
2,2000,227857,14.0609158,5
2,2010,57408,3.542612492,5
2,2015,55270,3.410677822,5
2,2017,56186,3.467203621,5
3,1950,362,0.022338798,5
3,1960,11458,0.707066157,5
3,1970,2662,0.164270388,5
3,1980,38140,2.353596022,5
3,1990,26763,1.651528326,5
3,2000,41407,2.555200589,5
3,2010,13087,0.807590748,5
3,2015,13841,0.854119626,5
3,2017,15489,0.955816696,5
