"Year","obs","income","ind"
"1950","20956","950","1"
"1960","275722","1205","1"
"1970","37091","2650","1"
"1980","195709","6320","1"
"1990","243300","11000","1"
"2000","174853","16000","1"
"2010","31165","21600","1"
"2017","29531","26000","1"
"1950","46689","2550","2"
"1960","1139507","3685","2"
"1970","241872","5650","2"
"1980","1363442","11505","2"
"1990","1281644","20000","2"
"2000","1166634","27800","2"
"2010","190542","35000","2"
"2015","185426","40000","2"
"2017","186074","42000","2"
"1950","15427","1250","3"
"1960","374153","1135","3"
"1970","76134","2150","3"
"1980","255086","8712.5","3"
"1990","342093","14000","3"
"2000","238849","17750","3"
"2010","49065","20000","3"
"2015","49371","22000","3"
"2017","50832","23925","3"
"1950","14997","2050","4"
"1960","504652","2415","4"
"1970","172924","4050","4"
"1980","1222652","8185","4"
"1990","1587105","16000","4"
"2000","712934","25900","4"
"2010","184568","34000","4"
"2015","201518","39500","4"
"2017","211111","42700","4"
"1950","9431","2550","5"
"1960","257573","3575","5"
"1970","44040","6450","5"
"1980","319202","12030","5"
"1990","330758","23000","5"
"2000","375044","32800","5"
"2010","90369","46000","5"
"2015","87630","50000","5"
"2017","89921","52000","5"
